game_date,player_name,goal_min,penalty,own_goal
1931-12-19,OG,,,1
1931-12-19,Fred Urmson,,,0
1931-12-19,Bert Whitehurst,,,0
1931-12-19,Ernie Dixon,,,0
1931-12-25,Bert Whitehurst,,,0
1931-12-25,Sammy Meston,,,0
1931-12-25,Farewell Watts,,,0
1931-12-25,Ernie Dixon,,,0
1931-12-26,Fred Urmson,,,0
1931-12-26,Ernie Dixon,,,0
1931-12-26,Farewell Watts,,,0
1931-12-26,Sammy Meston,,,0
1931-12-26,Ginger Lewis,,,0
1932-01-01,Sammy Meston,,,0
1932-01-02,Ernie Dixon,,,0
1932-01-09,Farewell Watts,,,0
1932-01-09,Ernie Dixon,,,0
1932-01-13,Bert Whitehurst,,,0
1932-01-13,Farewell Watts,,,0
1932-01-16,Bert Whitehurst,,,0
1932-01-20,Fred Urmson,,,0
1932-01-20,Jack Kennedy,,,0
1932-01-30,Ernie Dixon,,,0
1932-01-30,Farewell Watts,,,0
1932-02-06,Jack Kennedy,,,0
1932-02-06,Teddy Barton,,,0
1932-02-13,OG,,,1
1932-02-13,Farewell Watts,,,0
1932-02-18,Bert Fishwick,,,0
1932-02-20,Fred Urmson,,,0
1932-02-20,Ernie Dixon,,,0
1932-02-27,Sammy Meston,,,0
1932-02-27,Fred Urmson,,,0
1932-02-27,Bunny Bell,,,0
1932-02-27,Ernie Dixon,,,0
1932-03-12,Bunny Bell,,,0
1932-03-19,Bunny Bell,,,0
1932-03-26,Bert Fishwick,,,0
1932-03-26,Jack Kennedy,,,0
1932-03-26,Fred Urmson,,,0
1932-03-28,OG,,,1
1932-03-28,Jack Kennedy,,,0
1932-03-28,Bunny Bell,,,0
1932-04-09,Bunny Bell,,,0
1932-04-23,Bunny Bell,,,0
1932-04-23,Bert Whitehurst,,,0
1932-05-07,Ernie Dixon,,,0
1932-05-07,Fred Urmson,,,0
1932-08-27,Bert Whitehurst,,,0
1932-08-27,Bunny Bell,,,0
1932-08-29,Bunny Bell,,,0
1932-09-03,Bert Fishwick,,,0
1932-09-05,Teddy Spencer,,,0
1932-09-05,Bunny Bell,,,0
1932-09-05,Fred Urmson,,,0
1932-09-10,Bert Fishwick,,,0
1932-09-10,Bunny Bell,,,0
1932-09-17,Bunny Bell,,,0
