game_date,shirt_no,player_name,on_for,off_for
1976-09-18,12.0,Mark Palios,8.0,
1976-10-02,4.0,Les Parry,,12.0
1976-10-02,12.0,Mark Palios,4.0,
1976-10-25,7.0,Billy Kenny,,12.0
1976-10-25,12.0,Steve Peplow,7.0,
1976-11-20,9.0,Ronnie Moore,,12.0
1976-11-20,12.0,Billy Kenny,9.0,
1976-11-26,11.0,Russell Allen,,12.0
1976-11-26,12.0,Billy Kenny,11.0,
1976-12-28,9.0,Tommy Young,,12.0
1976-12-28,12.0,Ronnie Moore,9.0,
1977-01-07,12.0,Billy Kenny,7.0,
1977-01-07,7.0,Steve Peplow,,12.0
1977-01-22,12.0,Billy Kenny,1.0,
1977-01-22,1.0,Dickie Johnson,,12.0
1977-01-31,6.0,Mark Palios,,12.0
1977-01-31,12.0,Billy Kenny,6.0,
1977-03-07,11.0,John James,,12.0
1977-03-07,12.0,Billy Kenny,11.0,
1977-03-19,10.0,John James,,12.0
1977-03-19,12.0,Mark Palios,10.0,
1977-03-21,11.0,Russell Allen,,12.0
1977-03-21,12.0,Steve Peplow,11.0,
1977-03-25,7.0,Eddie Cliff,,12.0
1977-03-25,12.0,Billy Kenny,7.0,
1977-03-28,7.0,Eddie Cliff,,12.0
1977-03-28,12.0,Billy Kenny,7.0,
1977-04-02,12.0,Eddie Cliff,10.0,
1977-04-02,10.0,John James,,12.0
1977-04-12,10.0,John James,,12.0
1977-04-12,12.0,Eddie Cliff,10.0,
1977-04-16,10.0,John James,,12.0
1977-04-16,12.0,John Bramhall,10.0,
1977-04-23,8.0,Eddie Cliff,,12.0
1977-04-23,12.0,Steve Peplow,8.0,
1977-05-14,3.0,Eddie Flood,,12.0
1977-05-14,12.0,Dennis Postlewhite,3.0,
1977-08-16,11.0,Russell Allen,,12.0
1977-08-16,12.0,John James,11.0,
1977-09-02,7.0,Steve Peplow,,12.0
1977-09-02,12.0,John James,7.0,
1977-09-10,11.0,Russell Allen,,12.0
1977-09-10,12.0,John James,11.0,
1977-09-16,11.0,Russell Allen,,12.0
1977-09-16,12.0,John James,11.0,
1977-09-27,12.0,John James,11.0,
1977-09-27,11.0,Russell Allen,,12.0
1977-09-30,12.0,John James,9.0,
1977-09-30,9.0,Ronnie Moore,,12.0
1977-10-08,7.0,Steve Peplow,,12.0
1977-10-08,12.0,John James,7.0,
1977-10-25,11.0,Russell Allen,,12.0
1977-10-25,12.0,John James,11.0,
1977-10-28,3.0,Eddie Flood,,12.0
1977-10-28,12.0,John James,3.0,
