game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2023-04-10,Harvey Saunders,1,22,0,0,0
2023-04-15,Harvey Saunders,1,8,0,0,0
2023-04-18,Richard O'Donnell,1,19,0,0,1
2023-04-18,Josh Hawkes,1,56,0,1,0
2023-04-22,Josh Hawkes,1,33,0,1,0
2023-04-22,Rhys Hughes,1,48,0,0,0
2023-04-29,Samuel Taylor,1,79,0,0,0
2023-08-05,Josh Hawkes,1,63,0,1,0
2023-08-08,Luke Norris,1,23,0,0,0
2023-08-08,Samuel Taylor,1,47,0,0,0
2023-08-15,Luke Norris,1,24,0,0,0
2023-08-15,Samuel Taylor,1,26,0,0,0
2023-08-15,Kieron Morris,1,89,0,0,0
2023-08-19,Connor Jennings,1,6,0,0,0
2023-08-19,Kristian Dennis,1,36,0,0,0
2023-08-19,Charlie Jolley,1,87,0,0,0
2023-08-26,Josh Hawkes,1,88,0,0,0
2023-09-16,Charlie Jolley,1,21,0,0,0
2023-09-16,Samuel Taylor,1,66,0,0,0
2023-09-23,Josh Hawkes,1,14,0,1,0
2023-09-23,Josh Hawkes,2,49,0,0,0
2023-09-30,Connor Jennings,1,4,0,0,0
2023-10-03,Regan Hendry,1,24,0,0,0
2023-10-03,Kieron Morris,1,83,0,0,0
2023-10-07,Kieron Morris,1,16,0,0,0
2023-10-07,Connor Jennings,1,61,0,0,0
2023-10-20,Connor Jennings,1,70,0,0,0
2023-11-04,Luke Norris,1,28,0,1,0
2023-11-04,Rob Apter,1,55,0,0,0
2023-11-04,Kieron Morris,1,90,1,0,0
2023-11-11,Tyrese Omotoye,1,8,0,0,1
2023-11-11,Kristian Dennis,1,47,0,0,0
2023-11-11,Rob Apter,1,71,0,0,0
2023-11-18,Ben Goodliffe,1,17,0,0,1
2023-11-25,Rob Apter,1,43,0,0,0
2023-11-25,Connor Jennings,1,53,0,0,0
2023-11-25,Rob Apter,2,60,0,0,0
2023-11-28,Charlie Jolley,1,13,0,0,0
2023-11-28,Rob Apter,1,62,0,0,0
2023-12-09,Kieron Morris,1,57,0,0,0
2023-12-09,Connor Jennings,1,88,0,0,0
2023-12-23,Kieron Morris,1,55,0,0,0
2023-12-23,Tom Davies,1,72,0,0,0
2023-12-26,Harvey Saunders,1,12,0,0,0
2023-12-26,Kieron Morris,1,35,0,0,0
2023-12-26,Connor Jennings,1,50,0,0,0
2023-12-26,Regan Hendry,1,64,0,0,0
2023-12-26,Josh Hawkes,1,90,3,0,0
2023-12-29,Charlie Jolley,1,54,0,0,0
2023-12-29,Tom Davies,1,70,0,0,0
2024-01-01,Kieron Morris,1,5,0,0,0
2024-01-01,Connor Jennings,1,44,0,0,0
