game_date,player_name,card_min,card_inj_time
2017-12-23,Adam Buxton,40,0
2017-12-23,Ollie Banks,90,4
2017-12-26,Oliver Norburn,65,0
2017-12-30,Steve McNulty,45,0
2018-01-01,Oliver Norburn,76,0
2018-01-01,Ollie Banks,81,0
2018-01-06,Oliver Norburn,34,0
2018-01-06,Jeff Hughes,80,0
2018-01-13,Oliver Norburn,21,0
2018-01-13,Andy Cook,70,0
2018-01-20,Connor Jennings,41,0
2018-01-27,Oliver Norburn,43,0
2018-01-27,Andy Cook,45,0
2018-01-27,Steve McNulty,90,0
2018-02-03,James Norwood,19,0
2018-02-10,Jay Harris,61,0
2018-02-10,Liam Ridehalgh,65,0
2018-02-10,Steve McNulty,79,0
2018-02-17,Jay Harris,84,0
2018-02-20,Oliver Norburn,25,0
2018-02-24,Oliver Norburn,90,2
2018-03-10,Jay Harris,56,0
2018-03-10,Connor Jennings,61,0
2018-03-17,Adam Buxton,43,0
2018-04-07,Connor Jennings,57,0
2018-04-10,Ben Tollitt,55,0
2018-04-14,Connor Jennings,67,0
2018-04-17,Adam Buxton,44,0
2018-04-17,Liam Ridehalgh,64,0
2018-04-21,Scott Davies,64,0
2018-04-21,Josh Ginnelly,77,0
2018-04-24,Declan Drysdale,85,0
2018-05-05,Oliver Norburn,57,0
2018-05-05,Steve McNulty,109,0
2018-05-05,Jay Harris,109,0
2018-05-12,Connor Jennings,88,0
2018-08-04,Jay Harris,90,1
2018-08-11,Steve McNulty,70,0
2018-08-14,Ollie Banks,50,0
2018-08-18,Scott Davies,43,0
2018-08-18,Ollie Banks,73,0
2018-08-25,Paul Mullin,85,0
2018-09-01,Ollie Banks,86,0
2018-09-01,Connor Jennings,90,2
2018-09-04,Harvey Gilmour,80,0
2018-09-04,Connor Jennings,90,1
2018-09-08,Luke McCullough,71,0
2018-09-15,Ollie Banks,60,0
2018-09-15,Scott Davies,76,0
2018-09-22,James Norwood,63,0
2018-10-02,Zoumana Bakayogo,29,0
2018-10-02,James Norwood,73,0
2018-10-02,Luke McCullough,78,0
2018-10-06,Connor Jennings,72,0
2018-10-06,Adam Buxton,80,0
2018-10-06,Ollie Banks,89,0
2018-10-06,Luke McCullough,90,5
2018-10-09,Mark Ellis,66,0
2018-10-20,James Norwood,38,0
2018-10-20,Ritchie Sutton,59,0
2018-10-20,Ollie Banks,82,0
2018-10-23,Steve McNulty,39,0
2018-10-23,Jay Harris,90,5
2018-11-10,James Norwood,90,3
2018-11-17,Paul Mullin,79,0
2018-11-17,Ollie Banks,89,0
2018-11-17,James Norwood,89,0
2018-11-20,Zoumana Bakayogo,85,0
2018-11-24,Ollie Banks,35,0
2018-11-24,Emmanuel Monthe,90,4
2018-11-27,Connor Jennings,12,0
2018-11-27,Scott Davies,40,0
2018-11-27,James Norwood,69,0
2018-12-02,Steve McNulty,45,3
2018-12-02,Connor Jennings,45,4
2018-12-08,Adam Buxton,61,0
2018-12-08,Connor Jennings,81,0
2018-12-15,Connor Jennings,59,0
2018-12-17,Jay Harris,19,0
2018-12-26,Cole Stockton,37,0
2018-12-26,Mark Ellis,86,0
2018-12-29,Liam Ridehalgh,34,0
2019-01-01,Emmanuel Monthe,73,0
2019-01-01,Connor Jennings,75,0
2019-01-04,Ollie Banks,87,0
2019-01-12,Ollie Banks,39,0
2019-01-12,Luke McCullough,69,0
2019-01-12,Jay Harris,83,0
2019-01-19,Emmanuel Monthe,88,0
2019-01-19,Adam Buxton,90,0
2019-01-26,Luke McCullough,15,0
2019-01-26,Steve McNulty,21,0
2019-01-26,Ollie Banks,32,0
2019-01-26,Emmanuel Monthe,45,0
2019-02-16,Zoumana Bakayogo,45,2
2019-02-16,David Perkins,45,5
2019-02-16,James Norwood,90,3
2019-02-19,James Norwood,31,0
2019-02-19,Jake Caprice,67,0
2019-02-19,Emmanuel Monthe,83,0
2019-02-19,Connor Jennings,85,0
2019-02-19,David Perkins,89,0
2019-02-19,Harvey Gilmour,90,4
2019-02-23,David Perkins,24,0
2019-03-02,David Perkins,45,1
2019-03-02,Zoumana Bakayogo,56,0
2019-03-02,Luke McCullough,66,0
2019-03-08,David Perkins,25,0
2019-03-08,Connor Jennings,69,0
2019-03-12,Scott Davies,80,0
2019-03-23,Mark Ellis,25,0
2019-03-23,Connor Jennings,53,0
2019-03-23,David Perkins,84,0
2019-04-02,Liam Ridehalgh,42,0
2019-04-02,David Perkins,90,2
2019-04-06,Liam Ridehalgh,50,0
2019-04-06,James Norwood,55,0
